batch,n_trainablebackbone,split,epochs,lr,seed,weight,test_iou,train_iou,train_loss,Job ID,State,Nodes,Cores per node,CPU Utilized,CPU Efficiency,Job Wall-clock time,Memory Utilized,Memory Efficiency,Energy Consumed,Average node power draw,autocast,backbone,grayscale,normalize,optimizer
1,5,0.8,10,0.0001,42,Non,0.44286,0.47638,1.02504,2021291,COMPLETED,1,152,00:41:23,0.68,00:40:10,4.30,0.00,1525644,633.047302904564,0,0,0,0,0
1,5,0.8,10,0.0001,42,COCO_V1,0.48206,0.47339,1.00974,2021348,COMPLETED,1,152,00:40:26,0.68,00:39:20,4.24,0.00,1494536,633.277966101695,0,0,0,0,0
2,3,0.8,20,0.0001,42,COCO_V1,0.49157,0.53386,0.85954,2021526,COMPLETED,1,152,01:17:04,0.68,01:14:26,4.99,0.00,2859904,640.372592924317,0,0,0,0,0
2,3,0.8,20,0.0001,42,DEFAULT,0.62182,0.69191,0.64654,2021540,COMPLETED,1,152,01:20:13,0.68,01:17:27,5.01,0.00,3059269,658.332042177749,0,0,0,0,0
2,3,0.8,20,0.0001,42,DEFAULT,0.61946,0.70361,0.62556,2021801,COMPLETED,1,152,01:19:51,0.68,01:17:13,5.11,0.00,3054722,659.339952514569,0,0,0,Tru,0
2,3,0.9,20,0.001,42,DEFAULT,0.5562,0.57596,0.88595,2021860,COMPLETED,1,152,01:18:08,0.68,01:15:34,5.04,0.00,2869602,632.907366563741,True,0,0,Tru,ada
2,3,0.9,12,0.0001,42,DEFAULT,0.56599,0.56375,1.01799,2023329,COMPLETED,1,152,01:20:49,1.29,00:41:15,20.11,0.00,1736833,701.750707070707,True,resnet50,0,Tru,ada
2,3,0.9,15,0.0001,42,DEFAULT,0.64853,0.6479,0.82744,2023651,COMPLETED,1,152,02:20:38,1.30,01:11:13,19.72,0.00,2891692,676.735782822373,True,resnet50,Tru,Tru,ada
2,3,0.9,15,0.0001,42,DEFAULT,0.63304,0.64952,0.81493,2023830,COMPLETED,1,152,02:21:06,1.30,01:11:18,19.83,0.00,2886299,674.684198223469,True,resnet50,Tru,Tru,ada
2,3,0.9,20,0.0001,1,DEFAULT,0.63415,0.69622,0.69374,2023854,COMPLETED,1,152,03:05:43,1.30,01:34:01,19.87,0.00,3827207,678.462506647757,True,resnet50,Tru,Tru,ada
2,3,0.9,20,0.0001,1,DEFAULT,0.49303,0.51183,1.52962,2023878,COMPLETED,1,152,03:00:20,1.30,01:31:15,24.79,0.00,3780677,690.534611872146,True,resnet50,Tru,Tru,sgd
2,3,0.9,20,0.0001,2,DEFAULT,0.63188,0.70396,0.68037,2023889,COMPLETED,1,152,03:16:05,1.30,01:39:10,25.82,0.00,4019265,675.506722689076,True,resnet50,Tru,Tru,ada
2,3,0.9,20,0.0001,2,DEFAULT,0.65688,0.71908,0.73821,2023922,COMPLETED,1,152,03:13:49,1.30,01:38:02,25.71,0.00,3923114,666.96939816389,True,resnet18,Tru,Tru,ada
2,3,0.9,40,0.0001,21451,DEFAULT,0.7470415830612183,0.7614239454269409,0.5944441698583556,2024545,CANCELLED,1,152,00:00:00,0.00,03:05:04,19.65,0.00,7332942,660.38742795389,True,resnet18,Tru,Tru,ada
2,1,0.9,40,0.0001,54755,DEFAULT,0.7716467976570129,0.745729923248291,0.5606179452604718,2024547,CANCELLED,1,152,00:00:00,0.00,03:04:40,19.65,0.00,7428268,670.421299638989,True,resnet18,Tru,Tru,ada
2,3,0.9,40,0.0001,94647,DEFAULT,0.802431583404541,0.7449395656585693,0.6125243401821748,2024611,CANCELLED,1,152,00:00:00,0.00,02:41:58,20.47,0.00,6687044,688.109075941552,True,resnet18,Tru,Tru,ada
",n_trainablebackbone,split,epochs,lr,seed,weight,test_iou,train_iou,train_loss,Job ID,State,Nodes,Cores per node,CPU Utilized,CPU Efficiency,Job Wall-clock time,Memory Utilized,Memory Efficiency,Energy Consumed,Average node power draw,autocast,backbone,grayscale,normalize,optimizer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
